623529开头的银行卡是中国银联支付标记借记卡 623529开头的银行卡号数字长度为19位 如：623529xxxxxxxxxxxxx
623091开头的银行卡是浙江省农村信用社联合社借记卡 623091开头的银行卡号数字长度为19位 如：623091xxxxxxxxxxxxx
622288开头的银行卡是浙江省农村信用社联合社贷记卡 622288开头的银行卡号数字长度为16位 如：622288xxxxxxxxxx
628280开头的银行卡是浙江省农村信用社联合社贷记卡 628280开头的银行卡号数字长度为16位 如：628280xxxxxxxxxx
621537开头的银行卡是浙江省农村信用社联合社借记卡 621537开头的银行卡号数字长度为19位 如：621537xxxxxxxxxxxxx
621736开头的银行卡是浙江省农村信用社联合社借记卡 621736开头的银行卡号数字长度为19位 如：621736xxxxxxxxxxxxx
623540开头的银行卡是浙江省农村信用社联合社借记卡 623540开头的银行卡号数字长度为19位 如：623540xxxxxxxxxxxxx
622686开头的银行卡是浙江省农村信用社联合社贷记卡 622686开头的银行卡号数字长度为16位 如：622686xxxxxxxxxx
622855开头的银行卡是苏州银行股份有限公司借记卡 622855开头的银行卡号数字长度为19位 如：622855xxxxxxxxxxxxx
621461开头的银行卡是苏州银行股份有限公司借记卡 621461开头的银行卡号数字长度为19位 如：621461xxxxxxxxxxxxx
623521开头的银行卡是苏州银行股份有限公司借记卡 623521开头的银行卡号数字长度为19位 如：623521xxxxxxxxxxxxx
622859开头的银行卡是珠海农村商业银行借记卡 622859开头的银行卡号数字长度为19位 如：622859xxxxxxxxxxxxx
622869开头的银行卡是太仓农村商业银行借记卡 622869开头的银行卡号数字长度为19位 如：622869xxxxxxxxxxxxx
623075开头的银行卡是太仓农村商业银行借记卡 623075开头的银行卡号数字长度为19位 如：623075xxxxxxxxxxxxx
622882开头的银行卡是尧都区农村信用合作社联社借记卡 622882开头的银行卡号数字长度为19位 如：622882xxxxxxxxxxxxx
621779开头的银行卡是贵州省农村信用社联合社借记卡 621779开头的银行卡号数字长度为19位 如：621779xxxxxxxxxxxxx
621590开头的银行卡是贵州省农村信用社联合社借记卡 621590开头的银行卡号数字长度为19位 如：621590xxxxxxxxxxxxx
622893开头的银行卡是贵州省农村信用社联合社借记卡 622893开头的银行卡号数字长度为19位 如：622893xxxxxxxxxxxxx
622895开头的银行卡是无锡农村商业银行借记卡 622895开头的银行卡号数字长度为16位 如：622895xxxxxxxxxx
623125开头的银行卡是无锡农村商业银行借记卡 623125开头的银行卡号数字长度为16位 如：623125xxxxxxxxxx
623090开头的银行卡是湖南省农村信用社联合社借记卡 623090开头的银行卡号数字长度为19位 如：623090xxxxxxxxxxxxx
621519开头的银行卡是湖南省农村信用社联合社借记卡 621519开头的银行卡号数字长度为19位 如：621519xxxxxxxxxxxxx
621539开头的银行卡是湖南省农村信用社联合社借记卡 621539开头的银行卡号数字长度为19位 如：621539xxxxxxxxxxxxx
622169开头的银行卡是湖南省农村信用社联合社借记卡 622169开头的银行卡号数字长度为19位 如：622169xxxxxxxxxxxxx
622681开头的银行卡是江西农信联合社借记卡 622681开头的银行卡号数字长度为19位 如：622681xxxxxxxxxxxxx
622682开头的银行卡是江西农信联合社借记卡 622682开头的银行卡号数字长度为19位 如：622682xxxxxxxxxxxxx
622683开头的银行卡是江西农信联合社借记卡 622683开头的银行卡号数字长度为19位 如：622683xxxxxxxxxxxxx
621592开头的银行卡是江西农信联合社借记卡 621592开头的银行卡号数字长度为16位 如：621592xxxxxxxxxx
622991开头的银行卡是河南省农村信用社联合社借记卡 622991开头的银行卡号数字长度为18位 如：622991xxxxxxxxxxxx
621585开头的银行卡是河南省农村信用社联合社借记卡 621585开头的银行卡号数字长度为18位 如：621585xxxxxxxxxxxx
623013开头的银行卡是河南省农村信用社联合社借记卡 623013开头的银行卡号数字长度为18位 如：623013xxxxxxxxxxxx
623059开头的银行卡是河南省农村信用社联合社借记卡 623059开头的银行卡号数字长度为18位 如：623059xxxxxxxxxxxx
622358开头的银行卡是河北省农村信用社联合社借记卡 622358开头的银行卡号数字长度为19位 如：622358xxxxxxxxxxxxx
623025开头的银行卡是河北省农村信用社联合社借记卡 623025开头的银行卡号数字长度为19位 如：623025xxxxxxxxxxxxx
621021开头的银行卡是河北省农村信用社联合社借记卡 621021开头的银行卡号数字长度为19位 如：621021xxxxxxxxxxxxx
623501开头的银行卡是河北省农村信用社联合社借记卡 623501开头的银行卡号数字长度为19位 如：623501xxxxxxxxxxxxx
621566开头的银行卡是陕西省农村信用社联合社借记卡 621566开头的银行卡号数字长度为19位 如：621566xxxxxxxxxxxxx
622506开头的银行卡是陕西省农村信用社联合社借记卡 622506开头的银行卡号数字长度为19位 如：622506xxxxxxxxxxxxx
623027开头的银行卡是陕西省农村信用社联合社借记卡 623027开头的银行卡号数字长度为19位 如：623027xxxxxxxxxxxxx
623028开头的银行卡是陕西省农村信用社联合社借记卡 623028开头的银行卡号数字长度为19位 如：623028xxxxxxxxxxxxx
628323开头的银行卡是陕西省农村信用社联合社贷记卡 628323开头的银行卡号数字长度为16位 如：628323xxxxxxxxxx
622992开头的银行卡是广西农村信用社联合社借记卡 622992开头的银行卡号数字长度为19位 如：622992xxxxxxxxxxxxx
623133开头的银行卡是广西农村信用社联合社借记卡 623133开头的银行卡号数字长度为19位 如：623133xxxxxxxxxxxxx
628330开头的银行卡是广西壮族自治区农村信用社联合社贷记卡 628330开头的银行卡号数字长度为16位 如：628330xxxxxxxxxx
625121开头的银行卡是广西壮族自治区农村信用社联合社贷记卡 625121开头的银行卡号数字长度为16位 如：625121xxxxxxxxxx
621008开头的银行卡是新疆维吾尔自治区农村信用社联合借记卡 621008开头的银行卡号数字长度为16位 如：621008xxxxxxxxxx
621525开头的银行卡是新疆农村信用社联合社借记卡 621525开头的银行卡号数字长度为16位 如：621525xxxxxxxxxx
621287开头的银行卡是新疆维吾尔自治区农村信用社联合借记卡 621287开头的银行卡号数字长度为16位 如：621287xxxxxxxxxx
628277开头的银行卡是新疆维吾尔自治区农村信用社联合社贷记卡 628277开头的银行卡号数字长度为16位 如：628277xxxxxxxxxx
622935开头的银行卡是吉林农信联合社借记卡 622935开头的银行卡号数字长度为19位 如：622935xxxxxxxxxxxxx
621531开头的银行卡是吉林农信联合社借记卡 621531开头的银行卡号数字长度为19位 如：621531xxxxxxxxxxxxx
623181开头的银行卡是吉林省农村信用社联合社借记卡 623181开头的银行卡号数字长度为19位 如：623181xxxxxxxxxxxxx
623618开头的银行卡是吉林省农村信用联合社借记卡 623618开头的银行卡号数字长度为19位 如：623618xxxxxxxxxxxxx
622947开头的银行卡是黄河农村商业银行借记卡 622947开头的银行卡号数字长度为19位 如：622947xxxxxxxxxxxxx
621561开头的银行卡是黄河农村商业银行借记卡 621561开头的银行卡号数字长度为19位 如：621561xxxxxxxxxxxxx
623095开头的银行卡是黄河农村商业银行借记卡 623095开头的银行卡号数字长度为19位 如：623095xxxxxxxxxxxxx
625150开头的银行卡是宁夏黄河农村商业银行贷记卡 625150开头的银行卡号数字长度为16位 如：625150xxxxxxxxxx
628326开头的银行卡是宁夏黄河农村商业银行贷记卡 628326开头的银行卡号数字长度为16位 如：628326xxxxxxxxxx
621526开头的银行卡是安徽省农村信用社联合社借记卡 621526开头的银行卡号数字长度为19位 如：621526xxxxxxxxxxxxx
622953开头的银行卡是安徽省农村信用社联合社借记卡 622953开头的银行卡号数字长度为19位 如：622953xxxxxxxxxxxxx
628387开头的银行卡是安徽省农村信用社联合社贷记卡 628387开头的银行卡号数字长度为16位 如：628387xxxxxxxxxx
621536开头的银行卡是海南省农村信用社联合社借记卡 621536开头的银行卡号数字长度为19位 如：621536xxxxxxxxxxxxx
621036开头的银行卡是海南省农村信用社联合社借记卡 621036开头的银行卡号数字长度为19位 如：621036xxxxxxxxxxxxx
621458开头的银行卡是海南省农村信用社联合社借记卡 621458开头的银行卡号数字长度为19位 如：621458xxxxxxxxxxxxx
621517开头的银行卡是青海省农村信用社联合社借记卡 621517开头的银行卡号数字长度为16位 如：621517xxxxxxxxxx
621065开头的银行卡是青海省农村信用社联合社借记卡 621065开头的银行卡号数字长度为16位 如：621065xxxxxxxxxx
623017开头的银行卡是青海省农村信用社联合社借记卡 623017开头的银行卡号数字长度为16位 如：623017xxxxxxxxxx
623213开头的银行卡是青海省农村信用社联合社借记卡 623213开头的银行卡号数字长度为16位 如：623213xxxxxxxxxx
628289开头的银行卡是青海省农村信用社联合社贷记卡 628289开头的银行卡号数字长度为16位 如：628289xxxxxxxxxx
622477开头的银行卡是广东省农村信用社联合社借记卡 622477开头的银行卡号数字长度为19位 如：622477xxxxxxxxxxxxx
622509开头的银行卡是广东省农村信用社联合社借记卡 622509开头的银行卡号数字长度为19位 如：622509xxxxxxxxxxxxx
622510开头的银行卡是广东省农村信用社联合社借记卡 622510开头的银行卡号数字长度为19位 如：622510xxxxxxxxxxxxx
622302开头的银行卡是广东省农村信用社联合社借记卡 622302开头的银行卡号数字长度为16位 如：622302xxxxxxxxxx
622362开头的银行卡是广东省农村信用社联合社借记卡 622362开头的银行卡号数字长度为19位 如：622362xxxxxxxxxxxxx
621018开头的银行卡是广东省农村信用社联合社借记卡 621018开头的银行卡号数字长度为19位 如：621018xxxxxxxxxxxxx
621518开头的银行卡是广东省农村信用社联合社借记卡 621518开头的银行卡号数字长度为19位 如：621518xxxxxxxxxxxxx
621728开头的银行卡是广东省农村信用社联合社借记卡 621728开头的银行卡号数字长度为19位 如：621728xxxxxxxxxxxxx
622470开头的银行卡是广东省农村信用社联合社借记卡 622470开头的银行卡号数字长度为19位 如：622470xxxxxxxxxxxxx
621362开头的银行卡是内蒙古自治区农村信用联合社借记卡 621362开头的银行卡号数字长度为19位 如：621362xxxxxxxxxxxxx
621533开头的银行卡是内蒙古自治区农村信用联合社借记卡 621533开头的银行卡号数字长度为19位 如：621533xxxxxxxxxxxxx
621737开头的银行卡是内蒙古自治区农村信用联合社借记卡 621737开头的银行卡号数字长度为19位 如：621737xxxxxxxxxxxxx
622976开头的银行卡是内蒙古自治区农村信用联合社借记卡 622976开头的银行卡号数字长度为19位 如：622976xxxxxxxxxxxxx
621033开头的银行卡是四川省农村信用社联合社借记卡 621033开头的银行卡号数字长度为19位 如：621033xxxxxxxxxxxxx
621099开头的银行卡是四川省农村信用社联合社借记卡 621099开头的银行卡号数字长度为19位 如：621099xxxxxxxxxxxxx
621457开头的银行卡是四川省农村信用社联合社借记卡 621457开头的银行卡号数字长度为19位 如：621457xxxxxxxxxxxxx
621459开头的银行卡是四川省农村信用社联合社借记卡 621459开头的银行卡号数字长度为19位 如：621459xxxxxxxxxxxxx
621530开头的银行卡是四川省农村信用社联合社借记卡 621530开头的银行卡号数字长度为19位 如：621530xxxxxxxxxxxxx
623201开头的银行卡是四川省农村信用社联合社借记卡 623201开头的银行卡号数字长度为19位 如：623201xxxxxxxxxxxxx
623256开头的银行卡是四川省农村信用社联合社借记卡 623256开头的银行卡号数字长度为19位 如：623256xxxxxxxxxxxxx
628297开头的银行卡是四川省农村信用社联合社贷记卡 628297开头的银行卡号数字长度为16位 如：628297xxxxxxxxxx
625097开头的银行卡是四川省农村信用社联合社贷记卡 625097开头的银行卡号数字长度为16位 如：625097xxxxxxxxxx
621061开头的银行卡是甘肃省农村信用社联合社借记卡 621061开头的银行卡号数字长度为19位 如：621061xxxxxxxxxxxxx
621520开头的银行卡是甘肃省农村信用社联合社借记卡 621520开头的银行卡号数字长度为19位 如：621520xxxxxxxxxxxxx
623065开头的银行卡是甘肃省农村信用社联合社借记卡 623065开头的银行卡号数字长度为19位 如：623065xxxxxxxxxxxxx
628332开头的银行卡是甘肃省农村信用社联合社贷记卡 628332开头的银行卡号数字长度为16位 如：628332xxxxxxxxxx
621449开头的银行卡是辽宁省农村信用社联合社借记卡 621449开头的银行卡号数字长度为19位 如：621449xxxxxxxxxxxxx
621026开头的银行卡是辽宁省农村信用社联合社借记卡 621026开头的银行卡号数字长度为19位 如：621026xxxxxxxxxxxxx
